,Data,prod_dia,productivity,CF,Irrad_pv1(Wh/m2),PR
0,2020-01-01,6.1,4.066666666666666,16.944444444444443,4.138599509795292,98.26190374404736
1,2020-01-02,3.1,2.066666666666667,8.61111111111111,1.8451825736368226,112.00337008349818
2,2020-01-03,6.8,4.533333333333333,18.88888888888889,5.243218555564823,86.46088819856531
3,2020-01-04,6.3,4.2,17.5,4.832230979709469,86.91637501675301
4,2020-01-05,6.0,4.0,16.666666666666668,4.697412001207984,85.15327160937474
5,2020-01-06,6.2,4.133333333333334,17.22222222222222,5.115677366700009,80.79738101231432
6,2020-01-07,6.8,4.533333333333333,18.88888888888889,4.571586488744043,99.16324113073448
7,2020-01-08,3.7,2.466666666666667,10.277777777777779,2.2804663451574503,108.16501071829502
8,2020-01-09,3.4,2.2666666666666666,9.444444444444445,2.3467412742831844,96.58783827198945
9,2020-01-10,6.5,4.333333333333333,18.055555555555557,4.587193612038065,94.4658913450147
10,2020-01-11,6.5,4.333333333333333,18.055555555555557,4.611434462601563,93.96931407084688
11,2020-01-12,6.9,4.6000000000000005,19.166666666666668,5.735424051405293,80.20331118974383
12,2020-01-13,6.7,4.466666666666667,18.61111111111111,5.000228931020778,89.32924328636317
13,2020-01-14,4.3,2.8666666666666667,11.944444444444445,3.504103541293646,81.80884591122413
14,2020-01-15,3.7,2.466666666666667,10.277777777777779,3.2890074983544495,74.99729532087674
15,2020-01-16,6.4,4.266666666666667,17.77777777777778,5.438030873170662,78.45977277762258
16,2020-01-17,6.0,4.0,16.666666666666668,3.808442442439017,105.02981364314134
17,2020-01-18,6.2,4.133333333333334,17.22222222222222,3.343577084498417,123.62009993717226
18,2020-01-19,6.5,4.333333333333333,18.055555555555557,4.866101757870515,89.05143272691589
19,2020-01-20,6.5,4.333333333333333,18.055555555555557,5.32869799450443,81.32067791798987
20,2020-01-21,7.2,4.8,20.0,5.418521969262163,88.58504269668234
21,2020-01-22,2.1,1.4000000000000001,5.833333333333333,4.916631201994315,28.474781664163118
22,2020-01-23,1.1,0.7333333333333334,3.055555555555556,4.4844190460151445,16.35291719637516
23,2020-01-24,5.9,3.9333333333333336,16.38888888888889,5.223875685102483,75.2953088939399
24,2020-01-25,3.6,2.4,10.0,5.161502536929838,46.49808815995597
25,2020-01-26,6.6,4.3999999999999995,18.333333333333332,2.4791804432099904,177.4780053646669
26,2020-01-27,5.0,3.3333333333333335,13.88888888888889,4.289634400592275,77.7066999666241
27,2020-01-28,6.4,4.266666666666667,17.77777777777778,4.847312331321485,88.02128633422468
28,2020-01-29,6.8,4.533333333333333,18.88888888888889,5.556080495982508,81.59229040348312
29,2020-01-30,6.1,4.066666666666666,16.944444444444443,3.9570145067240734,102.77108309196905
30,2020-01-31,0.5,0.3333333333333333,1.3888888888888888,0.38364743851381644,86.88532748312063
31,2020-02-01,5.4,3.6,15.0,4.530244215461917,79.46591461257312
32,2020-02-02,6.4,4.266666666666667,17.77777777777778,4.484169995862572,95.14952980380785
33,2020-02-03,5.3,3.533333333333333,14.722222222222221,5.0538853351628115,69.91320734465192
34,2020-02-04,4.9,3.266666666666667,13.611111111111112,3.618832499676462,90.26852353511029
35,2020-02-05,3.6,2.4,10.0,2.537015349849545,94.59934880340118
36,2020-02-06,4.8,3.1999999999999997,13.333333333333334,3.345763189027577,95.64335008808732
37,2020-02-07,4.9,3.266666666666667,13.611111111111112,4.950280603010204,65.98952521358582
38,2020-02-08,6.4,4.266666666666667,17.77777777777778,4.743375532069057,89.95000791779077
39,2020-02-09,7.3,4.866666666666666,20.27777777777778,4.961294140203249,98.09268568114557
40,2020-02-10,5.6,3.733333333333333,15.555555555555555,4.504343032321543,82.88297109132847
41,2020-02-11,7.5,5.0,20.833333333333332,5.2473693866954845,95.28584003781627
42,2020-02-12,7.3,4.866666666666666,20.27777777777778,5.389604516124053,90.29728715914283
43,2020-02-13,1.7,1.1333333333333333,4.722222222222222,1.0936608529677048,103.62749386685783
44,2020-02-14,5.5,3.6666666666666665,15.277777777777779,3.3998346755627873,107.84838136459413
45,2020-02-15,6.5,4.333333333333333,18.055555555555557,3.045519773490259,142.28550971997797
46,2020-02-16,2.1,1.4000000000000001,5.833333333333333,3.470288107391043,40.34247176821632
47,2020-02-17,3.9,2.6,10.833333333333334,3.015633793345105,86.2173651766894
48,2020-02-18,3.7,2.466666666666667,10.277777777777779,2.457125696385096,100.38829801404168
49,2020-02-19,5.2,3.466666666666667,14.444444444444445,3.536175625797404,98.03434652329908
50,2020-02-20,4.4,2.9333333333333336,12.222222222222223,3.1568450510934656,92.91977546751266
51,2020-02-21,5.6,3.733333333333333,15.555555555555555,3.8506978986114104,96.9521222290536
52,2020-02-22,2.1,1.4000000000000001,5.833333333333333,1.3408566527655752,104.41086279524654
53,2020-02-23,5.1,3.4,14.166666666666664,3.8233577602337614,88.92706916844013
54,2020-02-24,6.5,4.333333333333333,18.055555555555557,4.7352122321425885,91.51296965991716
55,2020-02-25,4.4,2.9333333333333336,12.222222222222223,3.5289531802883416,83.12191132821033
56,2020-02-26,5.6,3.733333333333333,15.555555555555555,3.6457298819532395,102.40290570658404
57,2020-02-27,6.3,4.2,17.5,4.635675313783952,90.60168617744878
58,2020-02-28,5.9,3.9333333333333336,16.38888888888889,4.79041827978878,82.1083484489952
59,2020-02-29,6.0,4.0,16.666666666666668,4.172747010156327,95.8601130206105
60,2020-03-01,5.2,3.466666666666667,14.444444444444445,3.4615713634026535,100.14719625075142
61,2020-03-02,6.5,4.333333333333333,18.055555555555557,3.8736381551816566,111.86727205112732
